id_video,c1_form,c1_composition,c1_command,c1_description,c2_form,c2_composition,c2_command,c2_description,c3_form,c3_composition,c3_command,c3_description,c4_form,c4_composition,c4_command,c4_description,c5_form,c5_composition,c5_command,c5_description,c6_form,c6_composition,c6_command,c6_description,c7_form,c7_composition,c7_command,c7_description,c8_form,c8_composition,c8_command,c8_description
TC24201,dynamic,1,backhand up,"one hand, palm facing down, moving up-down (repeatedly)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,block view,"one hand, palm facing forward, moving upward in a circular motion to the left (once)",dynamic,1,unblock view,"one hand, palm facing forward, moving upward in a circular motion to the right (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,close lid,"one hand, open palm facing downward, moving downward"
TC24202,dynamic,3,point month + listen + palm up,"one hand, index finger extended, pointing at the mouth (repeatedly) + index finger pointing at the ear (repeatedly) + palm facing up, moving upward (repeatedly)",dynamic,3,point month + listen + palm down,"one hand, index finger extended, pointing at the mouth (repeatedly) + index finger pointing at the ear (repeatedly) + palm facing down, moving up-down (repeatedly)",dynamic,2,silence cue + throat slash,"one hand, index finger placed on lips (stationary) + palm open, moving horizontally across the throat, rightward (repeatedly)",dynamic,2,point month + hand release,"one hand, index finger extended, pointing at the mouth (repeatedly) + palm closed, facing outward, opening fingers outward",dynamic,2,eye point + hand grab,"one hand, index finger pointing at the eyes (repeatedly) + palm facing leftward, closing fist inward (once)",dynamic,2,eye point + hand release,"one hand, index finger pointing at the eyes (repeatedly) + palm closed, facing outward, opening fingers (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,throat slash,"one hand, palm open, moving horizontally across the throat, rightward (once)"
TC24203,dynamic,2,listen + palm up,"one hand, index finger point near ear (stationary) + palm facing up, moving upward (once)",dynamic,2,listen + backhand up,"one hand, hand near ear (stationary) + palm facing down, moving upward (once)",dynamic,1,hand grab,"one hand, palm facing leftward, closing fist inward (once)",dynamic,2,cover mouth + palm up,"one hand, palm open facing inward, covering the mouth (stationary) + palm facing up, moving upward (once)",dynamic,1,spread hands,"two hands, palms open inwards, crossing each other, spreading outward to the sides (once)",dynamic,1,close curtains,"two hands, palms facing inwards, moving towards each other, in front (once)",static,1,timeout,"two hands, palms open, one hand horizontally placed over the other in vertical, forming a ""T"" shape (stationary)",dynamic,2,hand wave + block view,"one hand, palm facing forward, waving left-right (repeatedly) + one hand, arm outstretched, open palm facing forward, moving forward (once)"
TC24204,dynamic,1,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,palm down,"one hand, palm facing down, moving downward (once)",dynamic,1,spread hands,"two hands, open palms facing down, crossing each other, spreading outward to the sides (repeatedly)",static,1,raised hand,"one hand, palm open, facing backdown, raised upward (stationary)",dynamic,1,raised hand,"one hand, open palm, facing forward, raised upwards, moving frontward and backward (repeatedly)",static,1,frame,"two hands, thumbs and index fingers extended, forming a rectangular shape (stationary)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,cross hands/arms,"two hands, hands/arms facing body, crossing in front, downward/inward"
TC24205,dynamic,1,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,2,unblock view + hand grab,"one hand, arm outstretched, palm facing forward, moving forward (once) + one hand, palm facing fronttward, closing fist inward (once)",static,1,thumbs up,"one hand, thumb finger extended upward (stationary)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24206,dynamic,1,index up,"one hand, index finger, pointing up, moving from bottom to top (repeatedly)",dynamic,1,index up,"one hand, index finger, pointing up, moving up-down (repeatedly)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,silence cue,"one hand, index finger placed on lips (repeatedly)",dynamic,1,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24207,dynamic,1,open curtains,"two hands, palms facing outward, moving away from each other, in front (once)",dynamic,1,hand swipe,"two hands, palms open and facing outward, moving downward (once)",dynamic,1,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,hand release,"one hand, palm closed, facing frontward, opening the fingers in sequence (once)",dynamic,1,close curtains,"two hands, index and middle fingers extended, pointing sideways, moving one above the other (once)",dynamic,1,open curtains,"two hands, index and midde fingers extended, in the center, moving away from each other, to the sides (once)",dynamic,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,2,close curtains + clap hands,"two hands, open palms facing inward, moving toward each other, toward the center, in front (once) + palms open and facing each other, moving toward each other and clapping (once)"
TC24208,dynamic,1,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (once)",static,1,cover mouth,"one hand, palm open facing inward, covering the mouth (stationary)",dynamic,1,uncover mouth,"one hand, palm touching the mouth, moving outward away from the mouth (once)",static,1,block face,"one hand, palm facing inward, in front of face (stationary)",dynamic,1,unblock face,"one hand, palm facing inwards, in front of face, moving outwards, turning the palm forward (stationary)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24209,dynamic,1,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (once)",static,1,cross fingers,"two hands, index fingers extended and crossing each other to form an ""X"" shape (stationary)",dynamic,1,uncover mouth,"one hand, palm touching the mouth, moving outward away from the mouth (once)",dynamic,1,hand swipe,"one hand, palm open, facing down, sliding to the left (once)",dynamic,1,hand swipe,"one hand, palm open, facing down, sliding to the right (repeatedly)",static,1,index up,"one hand, index finger extended upward (stationary)",static,1,cross hands/arms,"two hands, hands/arms facing body, crossing in front, downward/inward"
TC24210,dynamic,1,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (once)",static,1,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,hand swipe,"one hand, palm open, facing down, sliding to the right (repeatedly)",static,1,thumbs up,"one hand, thumb finger extended upward (stationary)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,spread hands,"two hands, open palms facing down, crossing each other, spreading to the sides (once)"
TC24211,dynamic,1,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,raised hand,"open palm, facing forward, raised upwards, moving frontward and backward (repeatedly)",static,1,cover mouth,"one hand, palm open facing inward, covering the mouth (stationary)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,block face,"one hand, palm facing inward, moving up-down, in front of face (repeatedly)",static,1,thumbs up,"one hand, thumb finger extended upward (stationary)",static,1,index up,"one hand, index finger extended upward (stationary)",static,1,hand wave,"two hands, palms facing forward, waving left-right (repeatedly)"
TC24212,dynamic,1,listen + unpinch,"one hand, index finger point near ear (stationary) + one hand, thumb and index fingers pinching together, slowly opening outwards (once)",dynamic,1,palm down,"two hands, one palm facing upward, the other facing down and moving downward towards the up palm (once)",dynamic,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,index point palm,"two hands, one palm open with all fingers extended and relaxed, the other hand with index finger extended, tapping on the open palm (once)",dynamic,1,index point camera,"one hand, index finger extended, pointing frontward (once)",dynamic,1,index point camera,"one hand, index finger extended, pointing frontward (repeatedly)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24213,dynamic,1,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,raised hand,"one hand, palm open, facing forward, raised horizontally, in front (stationary)",static,1,cover mouth,"one hand, palm open facing frontward, in front of mouth (stationary)",static,1,timeout,"two hands, palms open, one hand horizontally placed over the other in vertical, forming a ""T"" shape (stationary)",static,1,timeout,"two hands, palms open, one hand horizontally placed over the other in vertical, forming a ""T"" shape (stationary)",static,1,index up,"one hand, index finger extended upward (stationary)",static,1,cross fingers,"two hands, index fingers extended and crossing each other to form an ""X"" shape (stationary)"
TC24214,dynamic,1,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (once)",dynamic,2,silence cue + hand release,"one hand, index finger placed on lips (stationary) + index finger, facing outwards, opening fingers outwards (once)",dynamic,1,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,hand release,"two hands, palms closed, facing each other, in front, opening fingers outward (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,palm slap,"two hands, one open palm facing inward and stationary, while the other hand’s palm slaps downward horizontally onto the open palm (once)"
