id_video,c1_form,c1_composition,c1_locale,c1_nature,c1_command,c1_description,c2_form,c2_composition,c2_locale,c2_nature,c2_command,c2_description,c3_form,c3_composition,c3_locale,c3_nature,c3_command,c3_description,c4_form,c4_composition,c4_locale,c4_nature,c4_command,c4_description,c5_form,c5_composition,c5_locale,c5_nature,c5_command,c5_description,c6_form,c6_composition,c6_locale,c6_nature,c6_command,c6_description,c7_form,c7_composition,c7_locale,c7_nature,c7_command,c7_description,c8_form,c8_composition,c8_locale,c8_nature,c8_command,c8_description
TC24201,dynamic,1,no self interaction,iconic,backhand up,"one hand, palm facing down, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,metaphoric,block view,"one hand, palm facing forward, moving upward in a circular motion to the left (once)",dynamic,1,no self interaction,metaphoric,unblock view,"one hand, palm facing forward, moving upward in a circular motion to the right (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,eyes interaction,pantomimic,close lid,"one hand, open palm facing downward, moving downward"
TC24202,dynamic,3,mouth interaction,deictic,point month + listen + palm up,"one hand, index finger extended, pointing at the mouth (repeatedly) + index finger pointing at the ear (repeatedly) + palm facing up, moving upward (repeatedly)",dynamic,3,mouth interaction,deictic,point month + listen + palm down,"one hand, index finger extended, pointing at the mouth (repeatedly) + index finger pointing at the ear (repeatedly) + palm facing down, moving up-down (repeatedly)",dynamic,2,mouth interaction,symbolic,silence cue + throat slash,"one hand, index finger placed on lips (stationary) + palm open, moving horizontally across the throat, rightward (repeatedly)",dynamic,2,mouth interaction,metaphoric,point month + hand release,"one hand, index finger extended, pointing at the mouth (repeatedly) + palm closed, facing outward, opening fingers outward",dynamic,2,eyes interaction,deictic,eye point + hand grab,"one hand, index finger pointing at the eyes (repeatedly) + palm facing leftward, closing fist inward (once)",dynamic,2,eyes interaction,deictic,eye point + hand release,"one hand, index finger pointing at the eyes (repeatedly) + palm closed, facing outward, opening fingers (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,other self interaction,symbolic,throat slash,"one hand, palm open, moving horizontally across the throat, rightward (once)"
TC24203,dynamic,2,ear interaction,symbolic,listen + palm up,"one hand, index finger point near ear (stationary) + palm facing up, moving upward (once)",dynamic,2,ear interaction,symbolic,listen + backhand up,"one hand, hand near ear (stationary) + palm facing down, moving upward (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing leftward, closing fist inward (once)",dynamic,2,mouth interaction,metaphoric,cover mouth + palm up,"one hand, palm open facing inward, covering the mouth (stationary) + palm facing up, moving upward (once)",dynamic,1,no self interaction,iconic,spread hands,"two hands, palms open inwards, crossing each other, spreading outward to the sides (once)",dynamic,1,no self interaction,pantomimic,close curtains,"two hands, palms facing inwards, moving towards each other, in front (once)",static,1,no self interaction,symbolic,timeout,"two hands, palms open, one hand horizontally placed over the other in vertical, forming a ""T"" shape (stationary)",dynamic,2,no self interaction,metaphoric,hand wave + block view,"one hand, palm facing forward, waving left-right (repeatedly) + one hand, arm outstretched, open palm facing forward, moving forward (once)"
TC24204,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving downward (once)",dynamic,1,no self interaction,iconic,spread hands,"two hands, open palms facing down, crossing each other, spreading outward to the sides (repeatedly)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing backdown, raised upward (stationary)",dynamic,1,no self interaction,symbolic,raised hand,"one hand, open palm, facing forward, raised upwards, moving frontward and backward (repeatedly)",static,1,no self interaction,iconic,frame,"two hands, thumbs and index fingers extended, forming a rectangular shape (stationary)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,other self interaction,metaphoric,cross hands/arms,"two hands, hands/arms facing body, crossing in front, downward/inward"
TC24205,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (stationary)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",dynamic,2,no self interaction,metaphoric,unblock view + hand grab,"one hand, arm outstretched, palm facing forward, moving forward (once) + one hand, palm facing fronttward, closing fist inward (once)",static,1,no self interaction,symbolic,thumbs up,"one hand, thumb finger extended upward (stationary)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,symbolic,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24206,dynamic,1,no self interaction,deictic,index up,"one hand, index finger, pointing up, moving from bottom to top (repeatedly)",dynamic,1,no self interaction,deictic,index up,"one hand, index finger, pointing up, moving up-down (repeatedly)",static,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (repeatedly)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,symbolic,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24207,dynamic,1,no self interaction,pantomimic,open curtains,"two hands, palms facing outward, moving away from each other, in front (once)",dynamic,1,no self interaction,iconic,hand swipe,"two hands, palms open and facing outward, moving downward (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing frontward, opening the fingers in sequence (once)",dynamic,1,no self interaction,pantomimic,close curtains,"two hands, index and middle fingers extended, pointing sideways, moving one above the other (once)",dynamic,1,no self interaction,pantomimic,open curtains,"two hands, index and midde fingers extended, in the center, moving away from each other, to the sides (once)",dynamic,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,2,no self interaction,pantomimic,close curtains + clap hands,"two hands, open palms facing inward, moving toward each other, toward the center, in front (once) + palms open and facing each other, moving toward each other and clapping (once)"
TC24208,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",static,1,mouth interaction,symbolic,cover mouth,"one hand, palm open facing inward, covering the mouth (stationary)",dynamic,1,mouth interaction,pantomimic,uncover mouth,"one hand, palm touching the mouth, moving outward away from the mouth (once)",static,1,other self interaction,metaphoric,block face,"one hand, palm facing inward, in front of face (stationary)",dynamic,1,other self interaction,metaphoric,unblock face,"one hand, palm facing inwards, in front of face, moving outwards, turning the palm forward (stationary)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,symbolic,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24209,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",static,1,no self interaction,metaphoric,cross fingers,"two hands, index fingers extended and crossing each other to form an ""X"" shape (stationary)",dynamic,1,mouth interaction,pantomimic,uncover mouth,"one hand, palm touching the mouth, moving outward away from the mouth (once)",dynamic,1,no self interaction,pantomimic,hand swipe,"one hand, palm open, facing down, sliding to the left (once)",dynamic,1,no self interaction,iconic,hand swipe,"one hand, palm open, facing down, sliding to the right (repeatedly)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",static,1,other self interaction,metaphoric,cross hands/arms,"two hands, hands/arms facing body, crossing in front, downward/inward"
TC24210,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",static,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,no self interaction,iconic,hand swipe,"one hand, palm open, facing down, sliding to the right (repeatedly)",static,1,no self interaction,symbolic,thumbs up,"one hand, thumb finger extended upward (stationary)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",dynamic,1,no self interaction,iconic,spread hands,"two hands, open palms facing down, crossing each other, spreading to the sides (once)"
